date,amount,category,description
20-07-2024,125.65,Income,Salary
19-12-2024,125.0,Income,Side Gig
19-07-2024,3000.0,Income,Salary
15-07-2024,75.0,Expense,Groceries
21-07-2024,150.0,Expense,Utilities
25-07-2024,50.0,Expense,Transport
28-07-2024,200.0,Income,Freelance Project
10-08-2024,80.0,Expense,Restaurant
12-08-2024,250.0,Expense,Electronics
15-08-2024,4000.0,Income,Bonus
20-08-2024,500.0,Income,Rental Income
05-09-2024,100.0,Expense,Subscriptions
12-09-2024,200.0,Expense,Clothing
20-09-2024,175.0,Income,Part-time Tutoring
25-09-2024,3500.0,Income,Salary
30-09-2024,100.0,Expense,Entertainment
02-10-2024,300.0,Expense,Insurance Premium
10-10-2024,220.0,Expense,Car Maintenance
15-10-2024,125.0,Income,Investment Dividend
22-10-2024,180.0,Expense,Medical Bills
05-11-2024,400.0,Income,Consulting Fees
15-11-2024,2750.0,Income,Salary
20-11-2024,150.0,Expense,Groceries
30-11-2024,500.0,Expense,Travel
10-12-2024,150.0,Income,Freelance Project
15-12-2024,100.0,Expense,Utilities
20-12-2024,400.0,Income,Side Gig